"x","y","z","vsx_rx","optix","domain","density","knnd","sample"
24565,31631.69921875,-124.543998718262,690.5,2163,"Optix",2.33182774153288e-06,5.46582188010646,"Larval brain 1"
24542.099609375,31615,-134.533004760742,1107,2501,"Optix",2.7737138002851e-06,4.49405435250717,"Larval brain 1"
24583.099609375,31647.69921875,-120.087997436523,964.5,1431,"Rx",6.35498942402398e-07,9.64866952158283,"Larval brain 1"
24544.69921875,31614.099609375,-129.5,1233,2465,"Optix",2.44780323899807e-06,4.69701074432503,"Larval brain 1"
24558.19921875,31628.099609375,-132.253997802734,568.5,2181,"Optix",2.66157904736931e-06,4.2223822063121,"Larval brain 1"
24560.400390625,31629.900390625,-130.503997802734,609.5,2323,"Optix",2.75441777997098e-06,3.83458900576462,"Larval brain 1"
24548.099609375,31618.80078125,-132.328002929688,609,2411,"Optix",2.76986343210099e-06,4.19363143809473,"Larval brain 1"
24568.099609375,31637.69921875,-126.581001281738,812.5,2267,"Optix",2.65094312499816e-06,4.72462724025039,"Larval brain 1"
24545.19921875,31618.30078125,-136.345993041992,609.5,2087,"Optix",2.46369021064419e-06,4.07773668980952,"Larval brain 1"
24542.30078125,31612,-128.27799987793,1437,2325,"Rx",2.17142887788831e-06,3.96603094418455,"Larval brain 1"
24534.599609375,31608.69921875,-134.824005126953,1847,2221,"Rx",2.42629833240897e-06,4.65663964243669,"Larval brain 1"
24556.69921875,31627.30078125,-127.48999786377,690.5,2475,"Optix",2.83839938958558e-06,4.61139678427562,"Larval brain 1"
24561.19921875,31632.599609375,-129.755004882812,654.5,2339,"Optix",2.71946132034238e-06,4.35180330338297,"Larval brain 1"
24563.900390625,31636.5,-128.427993774414,781.5,2221,"Optix",2.69215150543846e-06,5.21995471444582,"Larval brain 1"
24537.099609375,31608.5,-131.720001220703,1605,2357,"Rx",2.27672409184833e-06,4.26577629384725,"Larval brain 1"
24554.099609375,31623.5,-124.049003601074,691,2170,"Optix",2.05088250159378e-06,4.79811933556747,"Larval brain 1"
24532.69921875,31605.599609375,-130.09700012207,2715,1933,"Rx",1.72986138086973e-06,5.15703808978496,"Larval brain 1"
24551.099609375,31621.5,-124.924003601074,740.5,2165,"Optix",2.20521338389953e-06,4.27837215383148,"Larval brain 1"
24574.400390625,31644.099609375,-124.129997253418,857.5,1521,"Rx",1.81946110173342e-06,7.86935609895089,"Larval brain 1"
24540.19921875,31610.400390625,-126.11799621582,1740,1965,"Rx",1.78352862694209e-06,5.26380087664396,"Larval brain 1"
24549.400390625,31620,-129,695.5,2259,"Optix",2.6445834027073e-06,4.09961853112874,"Larval brain 1"
24536.599609375,31611.099609375,-131.024993896484,1345,2131,"Optix",2.15561067187688e-06,4.58171754782161,"Larval brain 1"
24549.19921875,31610.099609375,-126.218002319336,1183.5,1775,"Optix",2.10417409135802e-06,6.47374642049429,"Larval brain 1"
24537.5,31602.69921875,-133.572998046875,1926,2335,"Rx",2.58617307172785e-06,5.2379539612591,"Larval brain 1"
24545.69921875,31605.599609375,-125.337997436523,1473,1667,"Rx",1.58300690800853e-06,6.17184563685326,"Larval brain 1"
24570.19921875,31634.30078125,-131.438003540039,853.5,2303,"Optix",2.57386757984732e-06,4.45958741497213,"Larval brain 1"
24532.19921875,31600.099609375,-138.001007080078,1955,1919,"Rx",1.88537784610447e-06,5.26377611436396,"Larval brain 1"
24564.5,31629.80078125,-132.272994995117,690.5,2181,"Optix",2.58873587812071e-06,4.44144851878228,"Larval brain 1"
24572.099609375,31636.80078125,-128.167999267578,776.5,2331,"Optix",2.85924578758687e-06,4.76757365587059,"Larval brain 1"
24553.599609375,31619,-133.238006591797,650.5,2428,"Optix",2.87477047214322e-06,3.78951258183607,"Larval brain 1"
24550.19921875,31616.19921875,-133.552001953125,731.5,2623,"Optix",2.98152409775433e-06,3.88479906379019,"Larval brain 1"
24535.400390625,31603.400390625,-138.998992919922,2001,2289,"Rx",1.75449956238545e-06,4.88384048622608,"Larval brain 1"
24557.900390625,31623.30078125,-130.139007568359,618.5,2295,"Optix",2.92041569951799e-06,4.49959575389592,"Larval brain 1"
24541.900390625,31606.30078125,-132.526000976562,1929,2676,"Rx",2.65262176822494e-06,4.34771368571879,"Larval brain 1"
24555.599609375,31619.900390625,-131.600997924805,609.5,2293,"Optix",2.85043700132419e-06,3.70550421268647,"Larval brain 1"
24560,31625.400390625,-132.559997558594,528.5,2041,"Optix",2.80400142723763e-06,4.64893034949686,"Larval brain 1"
24544.400390625,31613,-138.570007324219,1015.5,2041,"Optix",2.04428845888276e-06,4.60478458656954,"Larval brain 1"
24541.80078125,31605.30078125,-127.678001403809,1851,1887,"Rx",1.82016113327023e-06,5.23223102933721,"Larval brain 1"
24533.30078125,31602.69921875,-133.744995117188,1919,2045,"Rx",2.32759927277048e-06,4.78232312920574,"Larval brain 1"
24567.19921875,31629.599609375,-125.545997619629,612,2087,"Optix",2.73379592900882e-06,4.45534361765504,"Larval brain 1"
24575.400390625,31639.30078125,-123.904998779297,731,1715,"Optix",2.03457186970459e-06,6.26673425263093,"Larval brain 1"
24547.099609375,31616,-135.457000732422,975,2425,"Optix",2.81621660048498e-06,3.90676027177813,"Larval brain 1"
24543.599609375,31611.5,-135.128005981445,1386.5,2339,"Optix",2.88970367475312e-06,3.93141197835217,"Larval brain 1"
24550.099609375,31613.900390625,-135.203002929688,812.5,2385,"Optix",3.04992911130033e-06,4.38538064420688,"Larval brain 1"
